Title,"Number of Students","Badges Awarded","Certificates Awarded","Average Marks"
"Managing a Successful Business Project",1,n/a,n/a,0
"Financial Accounting",1,n/a,n/a,0
"Programming Basics | 221101 - G1",1,n/a,n/a,0
"Management and Operations",0,n/a,n/a,0
"Business and The Business Environment",0,n/a,n/a,0
"Website Design and Development",0,n/a,n/a,n/a
"Data Analytics",0,n/a,n/a,n/a
"Managing a Successful Computing Project",0,n/a,n/a,n/a
Security,0,n/a,n/a,n/a
"Database Design and Development",0,n/a,n/a,n/a
"Professional Practice",0,n/a,n/a,n/a
"Innovation and Commercialization",0,n/a,n/a,0
"Sales Management",0,n/a,n/a,0
"Business Information Technology Systems",0,n/a,n/a,0
"Social Media Practice",0,n/a,n/a,0
"Human Resource Management",0,n/a,n/a,0
"Higher National Diploma (HND) in Computing",0,n/a,n/a,n/a
"Higher National Certificate (HNC) in Business",0,n/a,n/a,n/a
"Marketing Essentials",0,n/a,n/a,0
"Business Research Project",0,n/a,n/a,0
0
0
0
0
0
